Id,ProcessName,Path,StartTime
7452,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:53:58 PM
11116,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:54:02 PM
11616,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:54:03 PM
19984,svchost,C:\Windows\system32\svchost.exe,3/14/2026 8:01:49 PM
20960,svchost,C:\Windows\system32\svchost.exe,3/14/2026 8:01:18 PM
27892,svchost,C:\Windows\system32\svchost.exe,3/14/2026 10:09:05 PM
7788,taskhostw,C:\Windows\system32\taskhostw.exe,3/14/2026 7:53:58 PM
28556,vmcompute,C:\Windows\system32\vmcompute.exe,3/14/2026 9:52:37 PM
27564,vmwp,C:\Windows\System32\vmwp.exe,3/14/2026 9:52:37 PM
7684,unsecapp,C:\Windows\system32\wbem\unsecapp.exe,3/14/2026 8:19:55 PM
9924,unsecapp,C:\Windows\system32\wbem\unsecapp.exe,3/14/2026 7:53:58 PM
5076,WmiPrvSE,C:\Windows\system32\wbem\wmiprvse.exe,3/14/2026 7:49:20 PM
8596,WmiPrvSE,C:\Windows\system32\wbem\wmiprvse.exe,3/14/2026 7:49:20 PM
6712,powershell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3/14/2026 8:09:30 PM
12000,powershell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3/14/2026 9:23:54 PM
14064,powershell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3/14/2026 8:19:45 PM
14864,powershell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3/14/2026 9:32:31 PM
19720,powershell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3/14/2026 9:23:57 PM
23072,powershell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3/14/2026 9:29:59 PM
1820,winlogon,C:\Windows\system32\winlogon.exe,3/14/2026 7:49:17 PM
29792,wsl,C:\Windows\System32\wsl.exe,3/14/2026 9:52:44 PM
30168,wsl,C:\Windows\System32\wsl.exe,3/14/2026 9:52:44 PM
30596,wsl,C:\Windows\System32\wsl.exe,3/14/2026 9:52:43 PM
780,WUDFHost,C:\Windows\System32\WUDFHost.exe,3/14/2026 7:49:17 PM
2108,WUDFHost,C:\Windows\System32\WUDFHost.exe,3/14/2026 7:49:17 PM
4204,WUDFHost,C:\Windows\System32\WUDFHost.exe,3/14/2026 7:49:19 PM
1528,StartMenuExperienceHost,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,3/14/2026 7:54:03 PM
12824,AppActions,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe,3/14/2026 8:03:59 PM
2120,CrossDeviceResume,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe,3/14/2026 7:53:58 PM
3112,SearchHost,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,3/14/2026 7:54:03 PM
16132,TextInputHost,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,3/14/2026 7:54:12 PM
1616,ClickToDo,C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\ClickToDo.exe,3/14/2026 7:53:58 PM
23056,ShellExperienceHost,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,3/14/2026 9:32:37 PM
1516,csrss,,3/14/2026 7:49:13 PM
1744,csrss,,3/14/2026 7:49:16 PM
0,Idle,,
1876,lsass,,3/14/2026 7:49:17 PM
4104,Memory Compression,,3/14/2026 7:49:19 PM
5884,MpDefenderCoreService,,3/14/2026 7:49:19 PM
5832,MsMpEng,,3/14/2026 7:49:19 PM
9508,NisSrv,,3/14/2026 7:49:26 PM
328,Registry,,3/14/2026 7:48:48 PM
284,Secure System,,3/14/2026 7:48:48 PM
16936,SecurityHealthService,,3/14/2026 7:54:25 PM
1844,services,,3/14/2026 7:49:17 PM
860,smss,,3/14/2026 7:48:52 PM
6580,svchost,,3/14/2026 7:49:20 PM
9776,svchost,,3/14/2026 7:51:20 PM
28320,svchost,,3/14/2026 10:10:53 PM
756,Sysmon,,3/14/2026 8:19:55 PM
4,System,,3/14/2026 7:48:52 PM
24104,vmmemWSL,,3/14/2026 9:52:37 PM
1724,wininit,,3/14/2026 7:49:16 PM
2832,WUDFCompanionHost,,3/14/2026 7:49:17 PM
4968,WUDFCompanionHost,,3/14/2026 7:49:19 PM
5024,WUDFCompanionHost,,3/14/2026 7:49:19 PM
